   0.000000	    2.000000	    2.000000
   0.002000	    1.952000	    2.104000
   0.004000	    1.907010	    2.205086
   0.006000	    1.864814	    2.303468
   0.008000	    1.825216	    2.399336
   0.010000	    1.788039	    2.492863
   0.012000	    1.753120	    2.584206
   0.014000	    1.720312	    2.673508
   0.016000	    1.689477	    2.760902
   0.018000	    1.660490	    2.846510
   0.020000	    1.633237	    2.930442
   0.022000	    1.607610	    3.012803
   0.024000	    1.583510	    3.093687
   0.026000	    1.560848	    3.173183
   0.028000	    1.539536	    3.251372
   0.030000	    1.519498	    3.328332
   0.032000	    1.500658	    3.404132
   0.034000	    1.482950	    3.478840
   0.036000	    1.466308	    3.552516
   0.038000	    1.450673	    3.625218
   0.040000	    1.435989	    3.697000
   0.042000	    1.422205	    3.767913
   0.044000	    1.409271	    3.838002
   0.046000	    1.397141	    3.907314
   0.048000	    1.385772	    3.975888
   0.050000	    1.375125	    4.043764
   0.052000	    1.365160	    4.110978
   0.054000	    1.355843	    4.177565
   0.056000	    1.347140	    4.243556
   0.058000	    1.339020	    4.308982
   0.060000	    1.331452	    4.373872
   0.062000	    1.324410	    4.438251
   0.064000	    1.317867	    4.502146
   0.066000	    1.311797	    4.565579
   0.068000	    1.306179	    4.628574
   0.070000	    1.300989	    4.691151
   0.072000	    1.296208	    4.753330
   0.074000	    1.291816	    4.815130
   0.076000	    1.287794	    4.876568
   0.078000	    1.284126	    4.937661
   0.080000	    1.280794	    4.998425
   0.082000	    1.277784	    5.058873
   0.084000	    1.275081	    5.119021
   0.086000	    1.272671	    5.178880
   0.088000	    1.270542	    5.238464
   0.090000	    1.268681	    5.297784
   0.092000	    1.267077	    5.356851
   0.094000	    1.265719	    5.415675
   0.096000	    1.264597	    5.474265
   0.098000	    1.263701	    5.532632
   0.100000	    1.263022	    5.590784
   0.102000	    1.262552	    5.648728
   0.104000	    1.262282	    5.706472
   0.106000	    1.262205	    5.764025
   0.108000	    1.262315	    5.821391
   0.110000	    1.262603	    5.878578
   0.112000	    1.263065	    5.935591
   0.114000	    1.263693	    5.992436
   0.116000	    1.264483	    6.049119
   0.118000	    1.265429	    6.105644
   0.120000	    1.266527	    6.162016
   0.122000	    1.267771	    6.218238
   0.124000	    1.269157	    6.274316
   0.126000	    1.270683	    6.330253
   0.128000	    1.272342	    6.386052
   0.130000	    1.274133	    6.441716
   0.132000	    1.276052	    6.497249
   0.134000	    1.278096	    6.552653
   0.136000	    1.280262	    6.607931
   0.138000	    1.282547	    6.663085
   0.140000	    1.284950	    6.718117
   0.142000	    1.287468	    6.773029
   0.144000	    1.290098	    6.827824
   0.146000	    1.292840	    6.882502
   0.148000	    1.295691	    6.937065
   0.150000	    1.298650	    6.991514
   0.152000	    1.301716	    7.045851
   0.154000	    1.304888	    7.100076
   0.156000	    1.308164	    7.154191
   0.158000	    1.311544	    7.208195
   0.160000	    1.315026	    7.262089
   0.162000	    1.318611	    7.315874
   0.164000	    1.322298	    7.369550
   0.166000	    1.326086	    7.423117
   0.168000	    1.329976	    7.476575
   0.170000	    1.333967	    7.529924
   0.172000	    1.338060	    7.583163
   0.174000	    1.342254	    7.636293
   0.176000	    1.346550	    7.689312
   0.178000	    1.350949	    7.742221
   0.180000	    1.355450	    7.795018
   0.182000	    1.360055	    7.847702
   0.184000	    1.364764	    7.900273
   0.186000	    1.369578	    7.952729
   0.188000	    1.374499	    8.005069
   0.190000	    1.379527	    8.057292
   0.192000	    1.384664	    8.109396
   0.194000	    1.389911	    8.161379
   0.196000	    1.395270	    8.213241
   0.198000	    1.400742	    8.264978
   0.200000	    1.406329	    8.316590
   0.202000	    1.412033	    8.368073
   0.204000	    1.417856	    8.419426
   0.206000	    1.423800	    8.470646
   0.208000	    1.429868	    8.521730
   0.210000	    1.436062	    8.572677
   0.212000	    1.442385	    8.623482
   0.214000	    1.448839	    8.674143
   0.216000	    1.455427	    8.724657
   0.218000	    1.462153	    8.775021
   0.220000	    1.469019	    8.825230
   0.222000	    1.476030	    8.875281
   0.224000	    1.483189	    8.925170
   0.226000	    1.490499	    8.974893
