   0.000000	 0.00e+00

   0.400000	 0.00e+00
   0.800000	 0.00e+00
   1.200000	 0.00e+00
   1.600000	 1.82e-16
   2.000000	 0.00e+00
   2.400000	 0.00e+00
   2.800000	 0.00e+00
   3.200000	 1.82e-16
   3.600000	 0.00e+00
   4.000000	 1.82e-16
   4.400000	 1.82e-16
   4.800000	 1.82e-16
   5.200000	 0.00e+00
   5.600000	 1.82e-16
   6.000000	 1.82e-16
   6.400000	 1.82e-16
   6.800000	 3.64e-16
   7.200000	 3.64e-16
   7.600000	 1.82e-16
   8.000000	 3.64e-16
   8.400000	 3.64e-16
   8.800000	 3.64e-16
   9.200000	 1.82e-16
   9.600000	 1.82e-16
  10.000000	 1.82e-16
  10.400000	 1.82e-16
  10.800000	 1.82e-16
  11.200000	 1.82e-16
  11.600000	 1.82e-16
  12.000000	 1.82e-16
  12.400000	 1.82e-16
  12.800000	 1.82e-16
  13.200000	 1.82e-16
  13.600000	 1.82e-16
  14.000000	 1.82e-16
  14.400000	 1.82e-16
  14.800000	 1.82e-16
  15.200000	 1.82e-16
  15.600000	 1.82e-16
  16.000000	 1.82e-16
  16.400000	 1.82e-16
  16.800000	 1.82e-16
  17.200000	 0.00e+00
  17.600000	 0.00e+00
  18.000000	 0.00e+00
  18.400000	 0.00e+00
  18.800000	 0.00e+00
  19.200000	 0.00e+00
  19.600000	 0.00e+00
  20.000000	 0.00e+00
  20.400000	 -1.82e-16
  20.800000	 -1.82e-16
  21.200000	 -1.82e-16
  21.600000	 -1.82e-16
  22.000000	 0.00e+00
  22.400000	 0.00e+00
  22.800000	 0.00e+00
  23.200000	 0.00e+00
  23.600000	 0.00e+00
  24.000000	 0.00e+00
  24.400000	 0.00e+00
  24.800000	 -1.82e-16
  25.200000	 0.00e+00
  25.600000	 0.00e+00
  26.000000	 -1.82e-16
  26.400000	 -1.82e-16
  26.800000	 -1.82e-16
  27.200000	 -1.82e-16
  27.600000	 -1.82e-16
  28.000000	 -1.82e-16
  28.400000	 -1.82e-16
  28.800000	 -1.82e-16
  29.200000	 -1.82e-16
  29.600000	 -1.82e-16
  30.000000	 -1.82e-16
  30.400000	 -1.82e-16
  30.800000	 0.00e+00
  31.200000	 0.00e+00
  31.600000	 -1.82e-16
  32.000000	 0.00e+00
  32.400000	 0.00e+00
  32.800000	 0.00e+00
  33.200000	 0.00e+00
  33.600000	 1.82e-16
  34.000000	 1.82e-16
  34.400000	 1.82e-16
  34.800000	 1.82e-16
  35.200000	 1.82e-16
  35.600000	 1.82e-16
  36.000000	 1.82e-16
  36.400000	 1.82e-16
  36.800000	 1.82e-16
  37.200000	 1.82e-16
  37.600000	 3.64e-16
  38.000000	 1.82e-16
  38.400000	 1.82e-16
  38.800000	 1.82e-16
  39.200000	 3.64e-16
  39.600000	 3.64e-16
  40.000000	 3.64e-16
