   0.000000	 1.000000e+00	 1.000000e+00	 1.000000e+00
   0.010000	 1.772720e+00	 9.998206e-01	 1.000622e+00
   0.020000	 2.545682e+00	 9.995415e-01	 1.002486e+00
   0.030000	 3.319300e+00	 9.991629e-01	 1.005590e+00
   0.040000	 4.094168e+00	 9.986848e-01	 1.009936e+00
   0.050000	 4.871060e+00	 9.981075e-01	 1.015522e+00
   0.060000	 5.650932e+00	 9.974309e-01	 1.022352e+00
   0.070000	 6.434924e+00	 9.966550e-01	 1.030428e+00
   0.080000	 7.224367e+00	 9.957796e-01	 1.039756e+00
   0.090000	 8.020788e+00	 9.948042e-01	 1.050345e+00
   0.100000	 8.825921e+00	 9.937285e-01	 1.062205e+00
   0.110000	 9.641717e+00	 9.925516e-01	 1.075349e+00
   0.120000	 1.047036e+01	 9.912725e-01	 1.089795e+00
   0.130000	 1.131428e+01	 9.898902e-01	 1.105562e+00
   0.140000	 1.217620e+01	 9.884030e-01	 1.122676e+00
   0.150000	 1.305912e+01	 9.868092e-01	 1.141165e+00
   0.160000	 1.396640e+01	 9.851067e-01	 1.161064e+00
   0.170000	 1.490174e+01	 9.832927e-01	 1.182413e+00
   0.180000	 1.586931e+01	 9.813645e-01	 1.205257e+00
   0.190000	 1.687374e+01	 9.793185e-01	 1.229650e+00
   0.200000	 1.792020e+01	 9.771507e-01	 1.255652e+00
   0.210000	 1.901451e+01	 9.748566e-01	 1.283334e+00
   0.220000	 2.016322e+01	 9.724309e-01	 1.312775e+00
   0.230000	 2.137373e+01	 9.698675e-01	 1.344065e+00
   0.240000	 2.265442e+01	 9.671598e-01	 1.377307e+00
   0.250000	 2.401487e+01	 9.642998e-01	 1.412619e+00
   0.260000	 2.546601e+01	 9.612787e-01	 1.450134e+00
   0.270000	 2.702041e+01	 9.580865e-01	 1.490004e+00
   0.280000	 2.869258e+01	 9.547117e-01	 1.532404e+00
   0.290000	 3.049936e+01	 9.511412e-01	 1.577531e+00
   0.300000	 3.246040e+01	 9.473600e-01	 1.625613e+00
   0.310000	 3.459874e+01	 9.433511e-01	 1.676912e+00
   0.320000	 3.694156e+01	 9.390949e-01	 1.731729e+00
   0.330000	 3.952110e+01	 9.345689e-01	 1.790413e+00
   0.340000	 4.237592e+01	 9.297471e-01	 1.853367e+00
   0.350000	 4.555232e+01	 9.245995e-01	 1.921065e+00
   0.360000	 4.910645e+01	 9.190910e-01	 1.994060e+00
   0.370000	 5.310679e+01	 9.131810e-01	 2.073003e+00
   0.380000	 5.763766e+01	 9.068216e-01	 2.158669e+00
   0.390000	 6.280374e+01	 8.999562e-01	 2.251982e+00
   0.400000	 6.873627e+01	 8.925178e-01	 2.354052e+00
   0.410000	 7.560147e+01	 8.844264e-01	 2.466227e+00
   0.420000	 8.361230e+01	 8.755855e-01	 2.590155e+00
   0.430000	 9.304494e+01	 8.658782e-01	 2.727872e+00
   0.440000	 1.042625e+02	 8.551618e-01	 2.881923e+00
   0.450000	 1.177493e+02	 8.432597e-01	 3.055522e+00
   0.460000	 1.341627e+02	 8.299523e-01	 3.252790e+00
   0.470000	 1.544106e+02	 8.149627e-01	 3.479088e+00
   0.480000	 1.797735e+02	 7.979381e-01	 3.741505e+00
   0.490000	 2.121000e+02	 7.784235e-01	 4.049608e+00
   0.500000	 2.541284e+02	 7.558245e-01	 4.416578e+00
   0.510000	 3.100389e+02	 7.293545e-01	 4.861047e+00
   0.520000	 3.864331e+02	 6.979593e-01	 5.410115e+00
   0.530000	 4.941531e+02	 6.602130e-01	 6.104543e+00
   0.540000	 6.518255e+02	 6.141789e-01	 7.008075e+00
   0.550000	 8.931484e+02	 5.572570e-01	 8.225068e+00
   0.560000	 1.282746e+03	 4.861236e-01	 9.935734e+00
   0.570000	 1.952585e+03	 3.971746e-01	 1.247096e+01
   0.580000	 3.188538e+03	 2.887599e-01	 1.648009e+01
   0.590000	 4.180577e+03	 1.190732e+00	 2.321593e+01
   0.600000	 -1.291223e+09	 4.916237e+03	 -4.152782e+05
   0.610000	 -1.265680e+35	 -1.644371e+31	 1.330840e+32
   0.620000	 2.405974e+87	 6.193200e+83	 -2.840589e+84
   0.630000	 -nan(ind)	 -nan(ind)	 -nan(ind)
   0.640000	 -nan(ind)	 -nan(ind)	 -nan(ind)
   0.650000	 -nan(ind)	 -nan(ind)	 -nan(ind)
   0.660000	 -nan(ind)	 -nan(ind)	 -nan(ind)
   0.670000	 -nan(ind)	 -nan(ind)	 -nan(ind)
   0.680000	 -nan(ind)	 -nan(ind)	 -nan(ind)
   0.690000	 -nan(ind)	 -nan(ind)	 -nan(ind)
   0.700000	 -nan(ind)	 -nan(ind)	 -nan(ind)
   0.710000	 -nan(ind)	 -nan(ind)	 -nan(ind)
   0.720000	 -nan(ind)	 -nan(ind)	 -nan(ind)
   0.730000	 -nan(ind)	 -nan(ind)	 -nan(ind)
   0.740000	 -nan(ind)	 -nan(ind)	 -nan(ind)
   0.750000	 -nan(ind)	 -nan(ind)	 -nan(ind)
   0.760000	 -nan(ind)	 -nan(ind)	 -nan(ind)
   0.770000	 -nan(ind)	 -nan(ind)	 -nan(ind)
